Ticker,Sector,Industry,MarketCap
KO,Consumer Defensive,Beverages - Non-Alcoholic,313952501760
KR,Consumer Defensive,Grocery Stores,43776520192
L,Financial Services,Insurance - Property & Casualty,22070169600
LCID,Consumer Cyclical,Auto Manufacturers,3987271936
LDOS,Technology,Information Technology Services,23926171648
LEN,Consumer Cyclical,Residential Construction,31408330752
LH,Healthcare,Diagnostics & Research,22074685440
LHX,Industrials,Aerospace & Defense,51971194880
LIN,Basic Materials,Specialty Chemicals,193537720320
LKQ,Consumer Cyclical,Auto Parts,7605586432
LLY,Healthcare,Drug Manufacturers - General,949975187456
LMT,Industrials,Aerospace & Defense,107576025088
LNC,Financial Services,Insurance - Life,7584266752
LNT,Utilities,Utilities - Regulated Electric,17549053952
LOW,Consumer Cyclical,Home Improvement Retail,131395657728
LRCX,Technology,Semiconductor Equipment & Materials,179886260224
LULU,Consumer Cyclical,Apparel Retail,20156456960
LUMN,Communication Services,Telecom Services,7788409856
LUV,Industrials,Airlines,17226156032
LVS,Consumer Cyclical,Resorts & Casinos,44145831936
LW,Consumer Defensive,Packaged Foods,8037980160
LYB,Basic Materials,Specialty Chemicals,14419908608
LYV,Communication Services,Entertainment,30333495296
MA,Financial Services,Credit Services,488528019456
MAA,Real Estate,REIT - Residential,16037395456
MAR,Consumer Cyclical,Lodging,80308084736
MAS,Industrials,Building Products & Equipment,13030793216
MCD,Consumer Cyclical,Restaurants,220753526784
MCHP,Technology,Semiconductors,27508746240
MCK,Healthcare,Medical Distribution,107720622080
MCO,Financial Services,Financial Data & Stock Exchanges,86029369344
MDLZ,Consumer Defensive,Confectioners,73754894336
MDT,Healthcare,Medical Devices,129800740864
MELI,Consumer Cyclical,Internet Retail,98950127616
MET,Financial Services,Insurance - Life,49923506176
META,Communication Services,Internet Content & Information,1497823576064
MGM,Consumer Cyclical,Resorts & Casinos,8902634496
MHK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",6830160896
MKC,Consumer Defensive,Packaged Foods,18292486144
MKTX,Financial Services,Capital Markets,6042469376
MLM,Basic Materials,Building Materials,36376064000
MMC,Financial Services,Insurance Brokers,88944615424
MMM,Industrials,Conglomerates,89529720832
MNST,Consumer Defensive,Beverages - Non-Alcoholic,70384607232
MO,Consumer Defensive,Tobacco,97752850432
MOS,Basic Materials,Agricultural Inputs,7671748096
MPC,Energy,Oil & Gas Refining & Marketing,57952350208
MPWR,Technology,Semiconductors,41791672320
MRK,Healthcare,Drug Manufacturers - General,244183302144
MRNA,Healthcare,Biotechnology,9268201472
MRO,,,
MS,Financial Services,Capital Markets,252492414976
MSCI,Financial Services,Financial Data & Stock Exchanges,42227666944
MSFT,Technology,Software - Infrastructure,3509346369536
MSI,Technology,Communication Equipment,61475168256
MTB,Financial Services,Banks - Regional,29472391168
MTD,Healthcare,Diagnostics & Research,29917016064
MU,Technology,Semiconductors,232765784064
NCLH,Consumer Cyclical,Travel Services,8285686784
NDAQ,Financial Services,Financial Data & Stock Exchanges,50298896384
NDSN,Industrials,Specialty Industrial Machinery,13193708544
NEE,Utilities,Utilities - Regulated Electric,173856260096
NEM,Basic Materials,Gold,91709562880
NFLX,Communication Services,Entertainment,441995165696
NI,Utilities,Utilities - Regulated Gas,20244887552
NKE,Consumer Cyclical,Footwear & Accessories,92831039488
NOC,Industrials,Aerospace & Defense,81141792768
NPSNY,Consumer Cyclical,Internet Retail,52077191168
NRG,Utilities,Utilities - Independent Power Producers,30794182656
NSC,Industrials,Railroads,64239648768
NTAP,Technology,Software - Infrastructure,21470611456
NTRS,Financial Services,Asset Management,24238680064
NUE,Basic Materials,Steel,34866618368
NVDA,Technology,Semiconductors,4347678687232
NVR,Consumer Cyclical,Residential Construction,20416077824
NWS,Communication Services,Entertainment,16202987520
NWSA,Communication Services,Entertainment,15007307776
NXPI,Technology,Semiconductors,48242126848
O,Real Estate,REIT - Retail,52131057664
ODFL,Industrials,Trucking,28221378560
OGN,Healthcare,Drug Manufacturers - General,1871876864
OKE,Energy,Oil & Gas Midstream,44416688128
OMC,Communication Services,Advertising Agencies,14504033280
ON,Technology,Semiconductors,19099084800
ORCL,Technology,Software - Infrastructure,566623535104
ORLY,Consumer Cyclical,Auto Parts,84967022592
OTIS,Industrials,Specialty Industrial Machinery,34561368064
OXY,Energy,Oil & Gas E&P,40827117568
PANW,Technology,Software - Infrastructure,127481298944
PARA,,,
PAYC,Technology,Software - Application,9121443840
PAYX,Technology,Software - Application,40113799168
PCAR,Industrials,Farm & Heavy Construction Machinery,54090797056
PCG,Utilities,Utilities - Regulated Electric,34441256960
PDD,Consumer Cyclical,Internet Retail,160760758272
PEAK,,,
PEG,Utilities,Utilities - Regulated Electric,40566243328
